field_1,Row,Panel,xcoord,ycoord
0,1,1,-77.01530849,42.87831409
1,1,2,-77.01539655,42.87833068
2,1,3,-77.01548248,42.87834675
3,1,4,-77.01557007,42.87836309
4,1,5,-77.01565649,42.87837876
5,1,6,-77.01574402,42.87839504
6,1,7,-77.01583096,42.87841145
7,1,8,-77.01591584,42.87842764
8,1,9,-77.01600595,42.8784451
9,1,10,-77.01609485,42.87846147
10,1,11,-77.0161802,42.87847734
11,1,12,-77.01626729,42.87849406
12,1,13,-77.01635463,42.87851051
13,1,14,-77.01644048,42.87852664
14,1,15,-77.01652649,42.87854321
15,1,16,-77.01661657,42.87856093
17,2,1,-77.01530967,42.87833993
18,2,2,-77.01539712,42.87835676
19,2,3,-77.01548146,42.87837259
20,2,4,-77.01556968,42.87838925
21,2,5,-77.01565765,42.87840581
22,2,6,-77.01574435,42.87842174
23,2,7,-77.01583056,42.87843762
24,2,8,-77.01591657,42.87845377
25,2,9,-77.01600582,42.87847031
26,2,10,-77.01609404,42.87848666
27,2,11,-77.01617976,42.8785028
28,2,12,-77.01626723,42.87851926
29,2,13,-77.0163547,42.87853579
30,2,14,-77.01644031,42.87855194
31,2,15,-77.01652693,42.87856837
32,2,16,-77.01661726,42.87858523
34,3,1,-77.01531043,42.87836287
35,3,2,-77.01539854,42.87837943
36,3,3,-77.01548485,42.87839577
37,3,4,-77.01557277,42.87841273
38,3,5,-77.0156604,42.87842921
39,3,6,-77.01574659,42.87844545
40,3,7,-77.0158328,42.87846188
41,3,8,-77.01591865,42.878478
42,3,9,-77.01600659,42.87849468
43,3,10,-77.01609479,42.87851147
44,3,11,-77.0161808,42.87852768
45,3,12,-77.01626747,42.87854414
46,3,13,-77.01635529,42.87856072
47,3,14,-77.01644095,42.87857681
48,3,15,-77.01652732,42.87859323
49,3,16,-77.0166177,42.87861021
51,4,1,-77.01531124,42.87838743
52,4,2,-77.01539927,42.87840424
53,4,3,-77.0154852,42.87842064
54,4,4,-77.01557285,42.87843749
55,4,5,-77.01565959,42.87845386
56,4,6,-77.01574682,42.8784704
57,4,7,-77.01583403,42.87848699
58,4,8,-77.01591985,42.87850332
59,4,9,-77.01600844,42.87852033
60,4,10,-77.01609656,42.87853706
61,4,11,-77.01618167,42.87855322
62,4,12,-77.01626808,42.87856958
63,4,13,-77.01635535,42.87858598
64,4,14,-77.01644077,42.87860201
65,4,15,-77.01652715,42.87861831
66,4,16,-77.0166187,42.87863577
68,5,1,-77.01531182,42.87841285
69,5,2,-77.01540069,42.87842963
70,5,3,-77.01548629,42.87844591
71,5,4,-77.01557396,42.8784628
72,5,5,-77.01566114,42.87847925
73,5,6,-77.01574804,42.87849551
74,5,7,-77.0158344,42.87851172
75,5,8,-77.01592072,42.87852777
76,5,9,-77.01600935,42.87854432
77,5,10,-77.01609727,42.87856098
78,5,11,-77.01618259,42.8785773
79,5,12,-77.01626808,42.87859376
80,5,13,-77.01635541,42.87861029
81,5,14,-77.01644146,42.87862682
82,5,15,-77.01652758,42.87864305
83,5,16,-77.01661813,42.87866006
85,6,1,-77.01531266,42.8784364
86,6,2,-77.01540149,42.87845349
87,6,3,-77.01548743,42.87846988
88,6,4,-77.01557567,42.87848659
89,6,5,-77.01566295,42.87850288
90,6,6,-77.01574943,42.87851922
91,6,7,-77.01583584,42.87853568
92,6,8,-77.01592208,42.87855198
93,6,9,-77.01601065,42.87856865
94,6,10,-77.01609837,42.87858541
95,6,11,-77.01618355,42.87860186
96,6,12,-77.01626969,42.87861833
97,6,13,-77.01635708,42.87863514
98,6,14,-77.01644231,42.87865166
99,6,15,-77.01652764,42.8786677
100,6,16,-77.01661799,42.87868441
102,7,1,-77.01531402,42.87846029
103,7,2,-77.0154027,42.87847753
104,7,3,-77.01548925,42.87849391
105,7,4,-77.01557651,42.87851017
106,7,5,-77.01566347,42.87852668
107,7,6,-77.01575141,42.87854335
108,7,7,-77.0158377,42.87855942
109,7,8,-77.01592343,42.87857559
110,7,9,-77.01601221,42.87859242
111,7,10,-77.0160996,42.87860899
112,7,11,-77.01618442,42.87862504
113,7,12,-77.01626885,42.87864156
114,7,13,-77.0163553,42.87865791
115,7,14,-77.01644172,42.87867374
116,7,15,-77.0165276,42.87868991
117,7,16,-77.01661816,42.87870695
119,8,1,-77.01531396,42.87848542
120,8,2,-77.01540336,42.87850276
121,8,3,-77.01548982,42.87851919
122,8,4,-77.01557783,42.87853568
123,8,5,-77.01566485,42.8785521
124,8,6,-77.0157515,42.87856869
125,8,7,-77.0158372,42.87858517
126,8,8,-77.0159235,42.87860174
127,8,9,-77.01601203,42.87861854
128,8,10,-77.01609964,42.87863501
129,8,11,-77.01618382,42.87865114
130,8,12,-77.01626875,42.87866709
131,8,13,-77.01635597,42.87868314
132,8,14,-77.01644268,42.87869949
133,8,15,-77.01652882,42.87871549
134,8,16,-77.01661861,42.87873277
136,9,1,-77.01531367,42.87850914
137,9,2,-77.01540334,42.87852654
138,9,3,-77.01549061,42.87854311
139,9,4,-77.01557873,42.87855979
140,9,5,-77.0156659,42.87857631
141,9,6,-77.01575322,42.87859294
142,9,7,-77.01583842,42.87860919
143,9,8,-77.01592433,42.87862531
144,9,9,-77.01601258,42.87864198
145,9,10,-77.0161004,42.8786587
146,9,11,-77.0161854,42.87867475
147,9,12,-77.01626998,42.87869043
148,9,13,-77.01635649,42.87870629
149,9,14,-77.01644277,42.87872234
150,9,15,-77.01652859,42.87873872
151,9,16,-77.0166192,42.87875602
153,10,1,-77.0153143,42.87853448
154,10,2,-77.0154048,42.87855168
155,10,3,-77.01549092,42.878568
156,10,4,-77.01557927,42.87858478
157,10,5,-77.01566712,42.87860081
158,10,6,-77.01575372,42.87861684
159,10,7,-77.01583848,42.87863306
160,10,8,-77.01592502,42.87864937
161,10,9,-77.01601391,42.87866609
162,10,10,-77.01610135,42.87868274
163,10,11,-77.01618533,42.87869874
164,10,12,-77.01626982,42.87871495
165,10,13,-77.01635581,42.87873144
166,10,14,-77.01644347,42.87874844
167,10,15,-77.01652979,42.87876516
168,10,16,-77.016619,42.87878193
170,11,1,-77.01530919,42.8785588
171,11,2,-77.01540167,42.87857625
172,11,3,-77.01548721,42.87859288
173,11,4,-77.01557388,42.87860944
174,11,5,-77.01566352,42.87862594
175,11,6,-77.0157507,42.87864207
176,11,7,-77.01583587,42.8786581
177,11,8,-77.01592493,42.87867473
178,11,9,-77.01601839,42.87869213
179,11,10,-77.01610599,42.87870858
180,11,11,-77.01618669,42.87872386
181,11,12,-77.01627185,42.87874023
182,11,13,-77.01635801,42.87875393
183,11,14,-77.0164404,42.87876978
184,11,15,-77.01652248,42.87878827
185,11,16,-77.01661433,42.87880574
187,12,1,-77.01531017,42.87858331
188,12,2,-77.01540172,42.87860049
189,12,3,-77.01548634,42.87861623
190,12,4,-77.01557344,42.87863337
191,12,5,-77.01566415,42.87865046
192,12,6,-77.01575196,42.87866635
193,12,7,-77.01583698,42.87868209
194,12,8,-77.01592564,42.87869891
195,12,9,-77.01601671,42.87871642
196,12,10,-77.01610188,42.87873259
197,12,11,-77.01618436,42.8787484
198,12,12,-77.01627155,42.87876519
199,12,13,-77.01635924,42.87878216
200,12,14,-77.01644119,42.87879812
201,12,15,-77.01652455,42.8788128
202,12,16,-77.01661687,42.87883001
204,13,1,-77.01530972,42.87860747
205,13,2,-77.01540271,42.87862498
206,13,3,-77.01548959,42.87864125
207,13,4,-77.01557704,42.8786577
208,13,5,-77.01566504,42.87867433
209,13,6,-77.01575158,42.8786905
210,13,7,-77.01583671,42.8787064
211,13,8,-77.01592543,42.87872315
212,13,9,-77.0160157,42.87874011
213,13,10,-77.01610299,42.87875645
214,13,11,-77.01618659,42.87877228
215,13,12,-77.01627194,42.87878874
216,13,13,-77.01635782,42.87880527
217,13,14,-77.01644099,42.87882133
218,13,15,-77.01652595,42.87883766
219,13,16,-77.01661828,42.87885519
221,14,1,-77.01531022,42.8786321
222,14,2,-77.01540196,42.87864965
223,14,3,-77.01548848,42.87866622
224,14,4,-77.0155778,42.87868298
225,14,5,-77.01566697,42.87869955
226,14,6,-77.01575201,42.87871546
227,14,7,-77.01583732,42.87873164
228,14,8,-77.01592538,42.87874862
229,14,9,-77.01601516,42.87876593
230,14,10,-77.01610279,42.87878242
231,14,11,-77.01618638,42.87879824
232,14,12,-77.01627248,42.87881449
233,14,13,-77.01635914,42.87883092
234,14,14,-77.0164426,42.87884684
235,14,15,-77.01652794,42.87886299
236,14,16,-77.01662017,42.87888028
238,15,1,-77.01531044,42.87865612
239,15,2,-77.01540474,42.87867411
240,15,3,-77.01549296,42.87869081
241,15,4,-77.0155802,42.87870717
242,15,5,-77.01566798,42.87872352
243,15,6,-77.01575256,42.87873957
244,15,7,-77.01583697,42.87875559
245,15,8,-77.01592571,42.87877228
246,15,9,-77.01601471,42.87878905
247,15,10,-77.01610189,42.87880559
248,15,11,-77.01618665,42.87882171
249,15,12,-77.0162731,42.87883814
250,15,13,-77.01635975,42.87885462
251,15,14,-77.016444,42.87887042
252,15,15,-77.01652943,42.87888666
253,15,16,-77.01662105,42.87890387
255,16,1,-77.01530968,42.87868163
256,16,2,-77.01540338,42.87869935
257,16,3,-77.01549347,42.87871626
258,16,4,-77.01558157,42.87873273
259,16,5,-77.01566864,42.87874927
260,16,6,-77.01575244,42.87876513
261,16,7,-77.01583702,42.87878115
262,16,8,-77.01592551,42.87879811
263,16,9,-77.01601439,42.8788152
264,16,10,-77.01610063,42.87883197
265,16,11,-77.01618522,42.8788481
266,16,12,-77.01627195,42.87886432
267,16,13,-77.01635988,42.878881
268,16,14,-77.01644551,42.87889737
269,16,15,-77.01653125,42.87891354
270,16,16,-77.01662174,42.87893045
272,17,1,-77.01531168,42.87870581
273,17,2,-77.01540734,42.87872374
274,17,3,-77.015496,42.87874014
275,17,4,-77.01558393,42.87875655
276,17,5,-77.01567038,42.87877289
277,17,6,-77.01575329,42.87878872
278,17,7,-77.01583738,42.87880487
279,17,8,-77.01592606,42.87882185
280,17,9,-77.01601341,42.87883859
281,17,10,-77.01610004,42.87885479
282,17,11,-77.01618688,42.87887128
283,17,12,-77.01627356,42.87888792
284,17,13,-77.01636108,42.8789047
285,17,14,-77.01644639,42.87892109
286,17,15,-77.01653227,42.87893755
287,17,16,-77.01662308,42.87895493
289,18,1,-77.0153142,42.878731
290,18,2,-77.01540769,42.878749
291,18,3,-77.01549656,42.87876634
292,18,4,-77.0155848,42.87878277
293,18,5,-77.01567108,42.87879819
294,18,6,-77.01575337,42.87881396
295,18,7,-77.01583733,42.8788304
296,18,8,-77.0159254,42.87884736
297,18,9,-77.01601264,42.87886396
298,18,10,-77.01609883,42.8788802
299,18,11,-77.01618579,42.87889641
300,18,12,-77.01627351,42.87891292
301,18,13,-77.01636087,42.87892939
302,18,14,-77.01644721,42.87894578
303,18,15,-77.01653324,42.87896213
304,18,16,-77.01662372,42.87897909
306,19,1,-77.0166248,42.87900411
307,19,2,-77.01653492,42.87898669
308,19,3,-77.01644865,42.87896996
309,19,4,-77.01636238,42.87895345
310,19,5,-77.0162748,42.87893668
311,19,6,-77.01618891,42.87892059
312,19,7,-77.0161019,42.87890445
313,19,8,-77.01601349,42.87888737
314,19,9,-77.01592645,42.87887074
315,19,10,-77.01583804,42.87885414
316,19,11,-77.01575392,42.87883822
317,19,12,-77.01567142,42.87882264
318,19,13,-77.01558456,42.87880629
319,19,14,-77.01549681,42.87878986
320,19,15,-77.01540822,42.87877352
321,19,16,-77.01531347,42.87875617
323,20,1,-77.0166263,42.87902845
324,20,2,-77.01653711,42.87901152
325,20,3,-77.01645016,42.87899535
326,20,4,-77.01636267,42.87897859
327,20,5,-77.01627423,42.87896135
328,20,6,-77.0161861,42.87894455
329,20,7,-77.01609963,42.87892806
330,20,8,-77.01601369,42.87891159
331,20,9,-77.01592632,42.87889523
332,20,10,-77.01583807,42.87887862
333,20,11,-77.01575419,42.87886252
334,20,12,-77.0156728,42.87884697
335,20,13,-77.01558718,42.87883105
336,20,14,-77.01549882,42.87881492
337,20,15,-77.01540909,42.87879831
338,20,16,-77.01531393,42.87878056